,x,z,time
0,6.649006225164084,0.0006467543436034556,0.0
1,6.6494108006410695,0.0011761640936295053,0.1
2,6.649572439381741,0.0022754920326508695,0.2
3,6.649531042528287,0.002814318814209374,0.3
4,6.6495085167936745,0.003569774035437189,0.4
5,6.64946122734577,0.0031739183696737985,0.5
6,6.6492378905725635,0.002713686161181085,0.6
7,6.639582530079015,-0.0006983891222250217,0.7
8,6.620144629654263,-0.01166933584880234,0.8
9,6.601621745095747,-0.026284981186311705,0.9
10,6.569719247063837,-0.036474539730432014,1.0
11,6.54272314781664,-0.038316871252038566,1.1
12,6.480170857254331,-0.03695431835091315,1.2
13,6.4022549563066855,-0.03307368186745367,1.3
14,6.295178855247794,-0.01936599956787595,1.4
15,6.19089287214036,-0.0025794908982400555,1.5
16,6.101712379708189,0.004953876712300642,1.6
17,6.0425095744843595,0.005566701017661065,1.7
18,5.947938772855365,-0.002356686909835174,1.8
19,5.831162442666634,-0.015849061224694604,1.9
20,5.713854475925636,-0.03288238069251731,2.0
21,5.5867065296212655,-0.05521000305991217,2.1
22,5.4846215027508,-0.06933497820524312,2.2
23,5.419401830293969,-0.0743341454982774,2.3
24,5.320154668787467,-0.07654502335610841,2.4
25,5.21069639617839,-0.07133562392458608,2.5
26,5.083655286185589,-0.06225907844752901,2.6
27,4.965902474713607,-0.05001591543938956,2.7
28,4.863853856215039,-0.0471169350094004,2.8
29,4.8026661817895615,-0.05070402692372322,2.9
30,4.71467641799755,-0.06476960721129742,3.0
31,4.6205736708019955,-0.10061715283508463,3.1
32,4.527972075012027,-0.14731036770781655,3.2
33,4.427095558167435,-0.2075394645074788,3.3
34,4.376995039475146,-0.23876364342003747,3.4
35,4.300306878911409,-0.2777642225740779,3.5
36,4.23111339107625,-0.304946569809108,3.6
37,4.145490460101162,-0.3278797059277291,3.7
38,4.053450007958692,-0.34989141268594637,3.8
39,3.9515962981211503,-0.364074262093942,3.9
40,3.8927379581947177,-0.37153043578454736,4.0
41,3.815100967966197,-0.38791473480088123,4.1
42,3.735303367240811,-0.41392462529414853,4.2
43,3.6607726455629996,-0.4502663997442858,4.3
