,timestamp,x,z,time
0,1900-01-01 10:14:58.120,3.2633128766652897,-2.267462735567065,0.0
1,1900-01-01 10:14:58.220,3.261845267456076,-2.266975312538238,0.1
2,1900-01-01 10:14:58.330,3.262036314954982,-2.267067474640872,0.2
3,1900-01-01 10:14:58.440,3.261403368910771,-2.2671163858371197,0.3
4,1900-01-01 10:14:58.540,3.262498735854372,-2.2668963375268167,0.4
5,1900-01-01 10:14:58.650,3.2602583490494403,-2.264568854774079,0.5
6,1900-01-01 10:14:58.720,3.25582069660215,-2.2590913039749485,0.6
7,1900-01-01 10:14:58.830,3.254699205421611,-2.2448427584515636,0.7
8,1900-01-01 10:14:58.930,3.264676305815845,-2.220061259208713,0.8
9,1900-01-01 10:14:59.040,3.2662993824237763,-2.1729862077236133,0.9
10,1900-01-01 10:14:59.140,3.279677458003157,-2.114142032898977,1.0
11,1900-01-01 10:14:59.210,3.2954523546865993,-2.0580700748038048,1.1
12,1900-01-01 10:14:59.320,3.325879832387914,-1.9733455807909401,1.2
13,1900-01-01 10:14:59.420,3.3545556058609716,-1.879455613506241,1.3
14,1900-01-01 10:14:59.530,3.3716694981866984,-1.7958244234067124,1.4
15,1900-01-01 10:14:59.640,3.3889058843026776,-1.7188794725544256,1.5
16,1900-01-01 10:14:59.710,3.394622779395019,-1.671094424437853,1.6
17,1900-01-01 10:14:59.850,3.4014001323109775,-1.572768322224592,1.7
18,1900-01-01 10:14:59.920,3.4043090614481017,-1.5125072769857717,1.8
19,1900-01-01 10:15:00.020,3.3974645042411495,-1.4214111732236419,1.9
20,1900-01-01 10:15:00.130,3.3837429335592377,-1.3010693632695725,2.0
21,1900-01-01 10:15:00.240,3.3701087745653333,-1.1786457780642334,2.1
22,1900-01-01 10:15:00.340,3.3738634316307383,-1.0735579646921718,2.2
23,1900-01-01 10:15:00.420,3.3661275344842077,-1.006503307498668,2.3
24,1900-01-01 10:15:00.520,3.3609326359572758,-0.9067198458965826,2.4
25,1900-01-01 10:15:00.620,3.3587818787572714,-0.7882926409584154,2.5
26,1900-01-01 10:15:00.730,3.364421820958352,-0.6707884223917258,2.6
27,1900-01-01 10:15:00.840,3.3755422835017015,-0.53033945057341,2.7
28,1900-01-01 10:15:00.950,3.382985855830378,-0.416026434971565,2.8
29,1900-01-01 10:15:01.050,3.383805830213814,-0.32188145772896015,2.9
30,1900-01-01 10:15:01.120,3.381790977447837,-0.2645717147062292,3.0
31,1900-01-01 10:15:01.220,3.374866819375481,-0.18020500978071352,3.1
32,1900-01-01 10:15:01.330,3.3606987619099824,-0.08703031203151568,3.2
33,1900-01-01 10:15:01.430,3.349249351500912,-0.0015358782870631416,3.3
34,1900-01-01 10:15:01.540,3.331761382950753,0.09445773616717323,3.4
35,1900-01-01 10:15:01.650,3.3159616600271447,0.17107833454996624,3.5
36,1900-01-01 10:15:01.720,3.3091010062095245,0.21989598322219095,3.6
37,1900-01-01 10:15:01.830,3.299584425781698,0.2882636411970019,3.7
38,1900-01-01 10:15:01.930,3.2892849041705565,0.3637131281067325,3.8
39,1900-01-01 10:15:02.030,3.276595624463752,0.45621332727150476,3.9
40,1900-01-01 10:15:02.140,3.268305393448869,0.5459292545662711,4.0
41,1900-01-01 10:15:02.240,3.271942826875129,0.6597274629269902,4.1
42,1900-01-01 10:15:02.310,3.2713319460502133,0.7368827973109959,4.2
43,1900-01-01 10:15:02.420,3.2740053278253067,0.8361051646440452,4.3
44,1900-01-01 10:15:02.530,3.2721505784504643,0.9254177089065758,4.4
45,1900-01-01 10:15:02.630,3.266785852119806,1.0113734599777353,4.5
46,1900-01-01 10:15:02.740,3.256892055352511,1.1128955716212956,4.6
47,1900-01-01 10:15:02.840,3.247392307523751,1.209042623216443,4.7
48,1900-01-01 10:15:02.910,3.2354313336064524,1.288062921478691,4.8
49,1900-01-01 10:15:03.020,3.22069232912688,1.3921832984400715,4.9
50,1900-01-01 10:15:03.120,3.2060811605666197,1.479621222056736,5.0
51,1900-01-01 10:15:03.240,3.196263925338217,1.5599062345723376,5.1
52,1900-01-01 10:15:03.340,3.190181377386467,1.6358409151712219,5.2
53,1900-01-01 10:15:03.410,3.189168738301475,1.6897737486619033,5.3
54,1900-01-01 10:15:03.510,3.1908191409948543,1.7774586893889726,5.4
55,1900-01-01 10:15:03.620,3.203403590787246,1.8800465827606212,5.5
56,1900-01-01 10:15:03.720,3.2125764123735863,1.9712626540274505,5.6
57,1900-01-01 10:15:03.830,3.2246802079868453,2.0468043179021786,5.7
58,1900-01-01 10:15:03.930,3.2320621647058756,2.1116539339306364,5.8
59,1900-01-01 10:15:04.040,3.2342749758011293,2.1738849547230568,5.9
60,1900-01-01 10:15:04.120,3.23011922019415,2.217147590570807,6.0
61,1900-01-01 10:15:04.220,3.2183647535333395,2.2826696248005987,6.1
62,1900-01-01 10:15:04.320,3.196251600729566,2.3552308063794354,6.2
63,1900-01-01 10:15:04.430,3.176483526173297,2.4051994286897194,6.3
64,1900-01-01 10:15:04.540,3.1665559971702453,2.4498926007846107,6.4
65,1900-01-01 10:15:04.650,3.1650684564188274,2.496895778187344,6.5
66,1900-01-01 10:15:04.720,3.1693692718182516,2.532540028171039,6.6
67,1900-01-01 10:15:04.830,3.1695137135053164,2.5903902613001195,6.7
68,1900-01-01 10:15:04.930,3.158013164103639,2.6504883671642783,6.8
69,1900-01-01 10:15:05.010,3.1468383859264404,2.6934046686089554,6.9
70,1900-01-01 10:15:05.140,3.1274766432605077,2.7739082083195683,7.0
